2253584800000000 1367
2253584900000000 1201
2253585000000000 1176
2253585100000000 1165
2253585200000000 1143
2253585300000000 1263
2253585400000000 8596
2253585500000000 600
2253585600000000 759
2253585700000000 771
2253585800000000 862
2253585900000000 1637
2253586000000000 7807
2253586100000000 982
2253586200000000 1042
2253586300000000 14360
2253586400000000 3485
2253586500000000 1140
2253586600000000 1236
2253586700000000 20995
2253586800000000 7894
2253586900000000 2451
2253587000000000 1125
2253587100000000 1429
2253587200000000 1445
2253587300000000 13359
2253587400000000 19057
2253587500000000 18990
2253587600000000 11843
2253587700000000 50224
2253587800000000 4142
2253587900000000 5328
2253588000000000 34100
2253588100000000 15023
2253588200000000 1877
2253588300000000 3770
2253588400000000 149717
2253588500000000 89141
2253588600000000 40410
2253588700000000 4342
2253588800000000 91500
2253588900000000 19271
2253589000000000 11085
2253589100000000 1622
2253589200000000 3453
2253589300000000 5856
2253589400000000 6900
2253589500000000 5687
2253589600000000 2201
2253589700000000 3138
2253589800000000 5162
2253589900000000 7105
2253590000000000 81674
2253590100000000 58494
2253590200000000 104684
2253590300000000 4318
2253590400000000 6292
2253590500000000 295176
2253590600000000 7937
2253590700000000 2677
2253590800000000 2866
2253590900000000 2379
2253591000000000 2471
2253591100000000 100373
2253591200000000 259780
2253591300000000 49600
2253591400000000 192056
2253591500000000 336380
2253591600000000 204876
2253591700000000 25352
2253591800000000 120029
2253591900000000 2592
2253592000000000 72263
2253592100000000 197042
2253592200000000 316268
2253592300000000 122393
2253592400000000 436745
2253592500000000 12867
2253592600000000 2647
2253592700000000 9625
2253592800000000 27940
2253592900000000 15406
2253593000000000 3308
2253593100000000 3177
2253593200000000 2691
2253593300000000 3314
2253593400000000 5632
2253593500000000 4039
2253593600000000 27710
2253593700000000 9491
2253593800000000 159596
2253593900000000 6114
2253594000000000 497747
2253594100000000 357
2253594200000000 102314
2253594300000000 177441
2253594400000000 724379
2253594500000000 11322
2253594600000000 724274
2253594700000000 351
